province,full_name,latitude,longitude,total_feedmills,Procurement Volume (MT)
Jawa Tengah,Indonesia,-0.789275,113.921327,5,1095.209
Jawa Tengah,"Indonesia, Banten, Tangerang",-6.1701796,106.6403236,1,181.4
Jawa Tengah,"Indonesia, Jawa Barat, Cirebon",-6.7320229,108.5523164,1,196.53
Jawa Tengah,"Indonesia, Jawa Tengah",-7.150975,110.1402594,1,149.33
Jawa Tengah,"Indonesia, Jawa Tengah, Batang",-7.032551,109.7986045,1,239.39
Jawa Tengah,"Indonesia, Jawa Tengah, Blora",-6.969127599999999,111.4186704,2,2058.94
Jawa Tengah,"Indonesia, Jawa Tengah, Demak",-6.8921607,110.6377502,2,390.41
Jawa Tengah,"Indonesia, Jawa Tengah, Grobogan",-7.1541672,110.9506636,6,24331.017
Jawa Tengah,"Indonesia, Jawa Tengah, Karanganyar",-7.6070727,110.9866942,1,243.446
Jawa Tengah,"Indonesia, Jawa Tengah, Kebumen",-7.6709292,109.6608012,1,21.967
Jawa Tengah,"Indonesia, Jawa Tengah, Magelang",-7.479734199999999,110.2176941,1,299.453
Jawa Tengah,"Indonesia, Jawa Tengah, Semarang",-7.0051453,110.4381254,2,4796.2
Jawa Tengah,"Indonesia, Jawa Tengah, Sragen",-7.419408,111.022491,2,664.188
Jawa Tengah,"Indonesia, Jawa Tengah, Wonogiri",-7.7978518,110.9387418,1,12.21
Jawa Tengah,"Indonesia, Jawa Timur, Mojokerto",-7.4704747,112.4401329,1,76.54
Jawa Tengah,"Indonesia, Jawa Timur, Sidoarjo",-7.449771799999999,112.7015495,3,234.43
Jawa Timur,Indonesia,-0.789275,113.921327,3,863.48
Jawa Timur,"Indonesia, Jawa Tengah, Blora",-6.969127599999999,111.4186704,2,359.54
Jawa Timur,"Indonesia, Jawa Tengah, Grobogan",-7.1541672,110.9506636,2,773.13
Jawa Timur,"Indonesia, Jawa Tengah, Semarang",-7.0051453,110.4381254,1,333.7
Jawa Timur,"Indonesia, Jawa Tengah, Sragen",-7.419408,111.022491,1,81.08
Jawa Timur,"Indonesia, Jawa Timur, Blitar",-8.095462699999999,112.1609056,1,149.306
Jawa Timur,"Indonesia, Jawa Timur, Gresik",-7.1652437,112.6519882,1,387.91
Jawa Timur,"Indonesia, Jawa Timur, Jember",-8.1733118,113.7009312,1,912.08
Jawa Timur,"Indonesia, Jawa Timur, Kediri",-7.848015599999999,112.0178286,3,3993.652
Jawa Timur,"Indonesia, Jawa Timur, Lamongan",-7.1181109,112.4149811,1,1165.69
Jawa Timur,"Indonesia, Jawa Timur, Mojokerto",-7.4704747,112.4401329,4,9438.221239999993
Jawa Timur,"Indonesia, Jawa Timur, Nganjuk",-7.594350700000001,111.9045541,1,1260.32
Jawa Timur,"Indonesia, Jawa Timur, Ngawi",-7.406869299999999,111.431658,2,240.795
Jawa Timur,"Indonesia, Jawa Timur, Pasuruan",-7.6469193,112.8999225,2,1627.729
Jawa Timur,"Indonesia, Jawa Timur, Probolinggo",-7.776422600000001,113.2037131,2,864.448
Jawa Timur,"Indonesia, Jawa Timur, Sidoarjo",-7.449771799999999,112.7015495,10,28886.525
Jawa Timur,"Indonesia, Jawa Timur, Surabaya",-7.2574719,112.7520883,3,1980.73
Jawa Timur,"Indonesia, Jawa Timur, Tuban",-6.8949099,112.0416754,2,309.735
