province,buyer_id,latitude,longitude,Feedmill,Share of Volume
Jawa Timur,rechuXzNUA2jKj3vz,-8.1733118,113.7009312,EJ - CV. KINGKONG,1.6853993110804166
Jawa Timur,rec1LfeGvYi8pzwU9,-8.095462699999999,112.1609056,EJ - JATINOM,0.27913193368922423
Jawa Timur,recdIZR6c0nH1UsXZ,-7.848015599999999,112.0178286,EJ - POJOK PS,2.2331377288006466
Jawa Timur,rectrF1ujNJn49V63,-7.848015599999999,112.0178286,EJ - PT. MATAHARI CORN MILLS KEDIRI,2.712724327366206
Jawa Timur,recTsH5pPfkyR1iwp,-7.848015599999999,112.0178286,EJ - PT. AGRICO INTERNATIONAL PARE-KEDIRI,2.5203871584785023
Jawa Tengah,recybInJrfeYFMGMz,-7.7978518,110.9387418,CJ - PT. SIBA PRIMA UTAMA (Wonogiri),0.03492654841031286
Jawa Timur,rec7qgtgCpL853Zha,-7.776422600000001,113.2037131,EJ - CV. SLAMET,0.08904193895590509
Jawa Timur,reci6op8awe5So7dp,-7.776422600000001,113.2037131,EJ - CV. SINAR TERANG (NGORO),1.5270688791879217
Jawa Tengah,recUXjwtnDUes6ksC,-7.6709292,109.6608012,CJ - KOPERASI PEMASARAN PETERNAK UNGGAS SEJAHTERA,0.06283632177963494
Jawa Timur,rec6WTZF0oB8luwwM,-7.6469193,112.8999225,EJ - CV RANDU AGUNG MANDIRI,0.11163893895926502
Jawa Timur,recCfORoZ7rMGAwnN,-7.6469193,112.8999225,EJ - PT HAIDA AGRICULTURE INDONESIA,2.9314480320400778
Jawa Tengah,recG05sap1CKEv971,-7.6070727,110.9866942,CJ - PT. SIBA PRIMA UTAMA (Karanganyar),0.6963741608760872
Jawa Timur,recLan05RQCZtyIer,-7.594350700000001,111.9045541,EJ - MAKMUR JAYA LESTARI (GALAXY),2.356205100044228
Jawa Tengah,rec3n661RgNB2aPGo,-7.479734199999999,110.2176941,CJ - PT. SIDOAGUNG FARM,0.856581466102655
Jawa Tengah,rechbcvP5n3wVOXFN,-7.4704747,112.4401329,EJ - PT NEW HOPE MOJOKERTO,0.21894168839683426
Jawa Timur,reca2PbeHv9dhjRNC,-7.4704747,112.4401329,EJ - DMC MOJOSARI,6.758535179295612
Jawa Timur,rechbcvP5n3wVOXFN,-7.4704747,112.4401329,EJ - PT NEW HOPE MOJOKERTO,10.579443981078157
Jawa Timur,recstt5OFVgvCS2SA,-7.4704747,112.4401329,EJ - WIRIFA SAKTI NGORO,0.16960369324934305
Jawa Timur,recTdlue18NQab5X2,-7.4704747,112.4401329,EJ - LBA PURI MITRA NIAGA (MIFTAH),0.018994417145208616
Jawa Tengah,rece8dLUwj7Bp5PI9,-7.449771799999999,112.7015495,EJ - PT SREYA SEWU,0.3505527033320099
Jawa Tengah,recvcghalKBhOpfRz,-7.449771799999999,112.7015495,EJ - PT SINAR INDOCHEM,0.20137829714054262
Jawa Tengah,recY9d5CGrk9urY7A,-7.449771799999999,112.7015495,EJ - PT. SINAR UNIGRAIN,0.11865300803110379
Jawa Timur,rec0taHguTD72EOP7,-7.449771799999999,112.7015495,EJ - CPI SEPANJANG,1.1112294888721002
Jawa Timur,rec5sUnfVmzgmy2ET,-7.449771799999999,112.7015495,EJ - PT SUBUR MEGA PERKASA,0.11250827005892267
Jawa Timur,recAmWVeiRYxnIyQI,-7.449771799999999,112.7015495,EJ - PT SURYA TRADING INDONESIA (PT SURYA GRAIN),9.845651433580976
Jawa Timur,recDCFWxk2A8yA4z6,-7.449771799999999,112.7015495,EJ - PT. SINAR ANEKA NIAGA,7.810369724003981
Jawa Timur,recE4XLJEIas46WPy,-7.449771799999999,112.7015495,EJ - PT JAPFA COMFEED BUDURAN,1.146021428150874
Jawa Timur,rece8dLUwj7Bp5PI9,-7.449771799999999,112.7015495,EJ - PT SREYA SEWU,1.393565795689955
Jawa Timur,recoWl7up1HzTc6iJ,-7.449771799999999,112.7015495,EJ - PT NEW HOPE SIDOARJO,2.321525332520245
Jawa Timur,recprssaciQRRlfLt,-7.449771799999999,112.7015495,EJ - PT CPI KRIAN,2.362804538284636
Jawa Timur,recvcghalKBhOpfRz,-7.449771799999999,112.7015495,EJ - PT SINAR INDOCHEM,21.140833020848586
Jawa Timur,recY9d5CGrk9urY7A,-7.449771799999999,112.7015495,EJ - PT. SINAR UNIGRAIN,6.714152554981919
Jawa Tengah,rec8B2NvjGGFaIVzS,-7.419408,111.022491,CJ - CV PAHALA SAMAHATA MULIA (SRAGEN),0.0032266295337291485
Jawa Tengah,recr5YNzS6hejjjRR,-7.419408,111.022491,CJ - PT JAPFA COMFEED SRAGEN,1.8966746264489798
Jawa Timur,recr5YNzS6hejjjRR,-7.419408,111.022491,CJ - PT JAPFA COMFEED SRAGEN,0.15158143131235377
Jawa Timur,recRy6iFjaZSPjtRo,-7.406869299999999,111.431658,EJ - PT. BUMI MITRA PANGAN,0.28652031327169125
Jawa Timur,recTEy5yih1WJxHvt,-7.406869299999999,111.431658,EJ - CV. Jagung Raya Lestari (Watualang),0.16365298165749279
Jawa Timur,rec7H6vkqSccbAOX8,-7.2574719,112.7520883,EJ - PT. AGRICO (ROMOKALISARI),0.6416598280096953
Jawa Timur,recIgVctxsG5YCBHF,-7.2574719,112.7520883,EJ - PT. GERBANG CAHAYA UTAMA,0.07098602549247747
